Title,Note,URL,Comment
Gerês Guest House,,https://www.google.com/maps/place/Ger%C3%AAs+Guest+House/data=!4m2!3m1!1s0xd25190d31f2f577:0x28517487ebaccd03,
Selina Gerês,,https://www.google.com/maps/place/Selina+Ger%C3%AAs/data=!4m2!3m1!1s0xd251f337bbd9b0d:0x7bb66a32e0b41c9,
Rosalma Hostel Porto,,https://www.google.com/maps/place/Rosalma+Hostel+Porto/data=!4m2!3m1!1s0xd2464faa39f51e3:0x9bde8e5e522a6cb6,
The Central House Porto Ribeira,,https://www.google.com/maps/place/The+Central+House+Porto+Ribeira/data=!4m2!3m1!1s0xd2465542e05c1a1:0xf1537ad49a651f56,
Dropped pin,,"https://www.google.com/maps/search/51.390957,-2.431815",
Exmoor Coast Holidays at Caffyns Farm,,https://www.google.com/maps/place/Exmoor+Coast+Holidays+at+Caffyns+Farm/data=!4m2!3m1!1s0x486c2b488ff03fb5:0xa48c456c735b6051,
Burrowhayes Farm,,https://www.google.com/maps/place/Burrowhayes+Farm/data=!4m2!3m1!1s0x486ddbe3e58e1fa5:0xcd975cb82571888a,
Fisterra,,https://www.google.com/maps/place/Fisterra/data=!4m2!3m1!1s0xd292c30e8419b15:0xe38bc77dfba1dce2,
Albergue Seminario Menor,,https://www.google.com/maps/place/Albergue+Seminario+Menor/data=!4m2!3m1!1s0xd2effae1da983a5:0x7a94bf70fc7594d7,
Albergue O Logoso - Dumbría,,https://www.google.com/maps/place/Albergue+O+Logoso+-+Dumbr%C3%ADa/data=!4m2!3m1!1s0xd2ecf6d09e6abe1:0x794ffd4b0a36d6a7,
Hotel Rústico Prado da Viña,,https://www.google.com/maps/place/Hotel+R%C3%BAstico+Prado+da+Vi%C3%B1a/data=!4m2!3m1!1s0xd292c3201d2aa6f:0x9332f85ef7b576a,
